,age,total_spent,avg_spent,num_transactions,max_transaction,min_transaction,engagement_score
age,1.0,0.006380070877532405,0.0312117018190957,-0.01607068325481001,0.023373625326140682,0.026990318231550126,
total_spent,0.006380070877532405,1.0,0.5990376237372015,0.7413846939999519,0.7908745144745399,0.2843767575085702,
avg_spent,0.0312117018190957,0.5990376237372015,1.0,-0.014242284118214626,0.8901971149440675,0.8959593059038903,
num_transactions,-0.01607068325481001,0.7413846939999519,-0.014242284118214626,1.0,0.3332907386055654,-0.3462675517826217,
max_transaction,0.023373625326140682,0.7908745144745399,0.8901971149440675,0.3332907386055654,1.0,0.6047090634730262,
min_transaction,0.026990318231550126,0.2843767575085702,0.8959593059038903,-0.3462675517826217,0.6047090634730262,1.0,
engagement_score,,,,,,,
